start_time,end_time,communicative_status_explanation,communicative_status,information_level_explanation,information_level,uncertainty_explanation,uncertainty,utterance_type_explanation,utterance_type,discursive_act_explanation,discursive_act,session,level,msg_idx,speaker,utterance
00:00:00.133,00:00:00.500,The utterance 'Yeah.' is a clear and successfully communicated affirmation.,Success,"""Yeah."" is a simple acknowledgment, indicating receipt of previous information.",Communication Management,"Simple confirmation, no explicit certainty or uncertainty expressed.",None,"This is a non-sentential acknowledgement, typically under 'backchanneling,' to show understanding or agreement.",Non-Sentential / Listener Response,"Acknowledges the previous utterance, confirming understanding.",Acknowledgement,1,Course1_Level1,1,Orange,Yeah.
00:00:00.800,00:00:01.300,The question 'Can you hear me?' is clear and successfully communicated.,Success,"""Can you hear me?"" is a conversational management question ensuring communication flow.",Communication Management,"A straightforward question, no indication of uncertainty or certainty.",None,The sentence asks a question seeking information about the listener's ability to hear.,Query,A directive asking for confirmation of audibility.,Directive,1,Course1_Level1,2,Orange,Can you hear me?
00:00:01.000,00:00:01.400,The utterance 'Yeah.' is a clear and successfully communicated affirmation.,Success,"""Yeah."" is a simple acknowledgment, indicating receipt of previous information.",Communication Management,"Simple confirmation, no explicit certainty or uncertainty expressed.",None,"This is another non-sentential acknowledgment, showing agreement or understanding of the situation.",Non-Sentential / Listener Response,"Acknowledges the previous directive/utterance, confirming that the message is heard.",Acknowledgement,1,Course1_Level1,3,Blue,Yeah.
00:00:01.966,00:00:02.766,"The response 'Yeah, I can.' is clear and successfully communicated, confirming the ability to hear.",Success,"""Yeah, I can."" acknowledges the previous question and confirms communication.",Communication Management,"Simple confirmation with an added statement, but still no explicit certainty or uncertainty.",None,"This non-sentential fragment agrees or provides a short answer, confirming the previous question.",Non-Sentential / Listener Response,"Confirms and acknowledges hearing aloud, reinforcing understanding.",Acknowledgement,1,Course1_Level1,4,Blue,"Yeah, I can."
00:00:02.100,00:00:02.666,The utterance 'Alright.' is a complete and clear acknowledgment.,Success,"""Alright."" is used to manage conversation, indicating readiness to proceed.",Communication Management,Neutral acknowledgment without expressed certainty or uncertainty.,None,"This is a backchannel signal acknowledging what was just heard, fitting the non-sentential fragment category.",Non-Sentential / Listener Response,Acknowledges the previous confirmation.,Acknowledgement,1,Course1_Level1,5,Orange,Alright.
00:00:02.966,00:00:04.533,"The question 'Uh, do you know how to do this?' is clear and successfully communicated, with 'Uh' as a hesitation that does not affect understanding.",Success,"""Uh, do you know how to do this?"" involves understanding game mechanics (Wr) and planning a task (T).","World Rules, Task-Related","The use of 'Uh' indicates a potential hedge, showing uncertainty or hesitation.",Hedging,The main part of the utterance is a query asking for knowledge on how to perform an action.,"Query, Non-Sentential / Listener Response",Requests information on the task or process at hand.,Request for Information,1,Course1_Level1,6,Blue,"Uh, do you know how to do this?"
00:00:06.533,00:00:07.266,The utterance 'Mm.' is an incomplete thought and can be seen as abandoned.,Abandoned,"""Mm."" is an acknowledgment, indicating thought or hesitation.",Communication Management,"Vague affirmation, but without clear expression of certainty or uncertainty.",None,"This is an example of engaged hesitation, fitting the non-sentential fragment category.",Non-Sentential / Listener Response,Acknowledges the previous request for information without further elaboration.,Acknowledgement,1,Course1_Level1,7,Orange,Mm.
00:00:08.866,00:00:09.066,The utterance 'Oh.' is an incomplete thought and can be seen as abandoned.,Abandoned,"""Oh."" is an acknowledgment, possibly indicating realization.",Communication Management,Neutral interjection without an expression of certainty or uncertainty.,None,"The utterance expresses an emotional reaction, fitting the exclamation category.",Exclamation,"Expressive reaction to the ongoing context, possibly surprise or realization.",Expressive,1,Course1_Level1,8,Orange,Oh.
00:00:08.900,00:00:10.600,"The suggestion 'Oh, maybe you have to go through, (I guess).' is complete and successfully communicated.",Success,"""Oh, maybe you have to go through, (I guess)."" is a suggestion, indicating task planning (T).",Task-Related,The use of 'maybe' and 'I guess' indicates hedging or uncertainty.,Hedging,"The utterance uses 'Oh' as an emotional or cognitive realization, followed by reasoning using 'I guess,' indicating uncertain speculation, fitting the non-sentential context as fragments of thought.",Non-Sentential / Listener Response,Offers a possible solution or approach to the puzzle.,Offer/Option,1,Course1_Level1,9,Blue,"Oh, maybe you have to go through, (I guess)."
00:00:11.366,00:00:12.066,The utterance 'I suppose.' is a complete and clear acknowledgment.,Success,"""I suppose."" is an acknowledgment and indicates agreement, managing the conversation flow.",Communication Management,"'I suppose' indicates a hedge, expressing uncertainty.",Hedging,This is another instance of minimal agreement expressed as a non-sentential fragment.,Non-Sentential / Listener Response,"Speculates on the previous suggestion, indicating a level of agreement or hypothesis.",Speculation,1,Course1_Level1,10,Orange,I suppose.
00:00:12.066,00:00:12.900,"The utterance 'Uh.' is an abandoned thought, suggestive of hesitation without completion.",Abandoned,"An interjection like 'Uh' indicates hesitation or thinking, managing the flow of conversation.",Communication Management,This is just an exclamation or filler without any hedging or certainty.,None,"'Uh' is a non-sentential backchanneling or hesitation, reflecting an engaged pause in conversation.",Non-Sentential / Listener Response,"The utterance 'Uh.' lacks enough information to be classified definitively for function, and mainly represents an expressive or unsure pause or filler.","Expressive, Not Enough Information",1,Course1_Level1,11,Blue,Uh.
00:00:14.833,00:00:16.566,"The utterance 'Okay, wait let me see.' is complete and clear.",Success,"Blue is indicating they will take an action (seeing or analyzing something), relating to task planning.",Task-Related,A neutral statement without hedging or certainty.,None,"The statement 'Okay, wait let me see' is giving an instruction to pause, fitting as an imperative.",Imperative,"'Okay, wait let me see.' functions as a directive because it prompts action or consideration on the speaker's part.",Directive,1,Course1_Level1,12,Blue,"Okay, wait let me see."
00:00:18.100,00:00:18.666,The repetitive nature does not affect understanding; it is straightforward and clear.,Success,"Repetition of line 12, emphasizing conversational management or time-buying.",Communication Management,A similar neutral statement as the previous line.,None,"This is a reformulation or repetition of the previous statement 'Wait let me see', so it's annotated as a repair/reformulation.",Repetition,The statement 'Wait let me see.' is directive as it suggests temporarily stopping for review or inspection.,Directive,1,Course1_Level1,13,Blue,Wait let me see.
00:00:18.733,00:00:19.366,"The single word 'Yeah.' clearly indicates agreement or confirmation, making it successful.",Success,"'Yeah.' is a simple acknowledgment or confirmation, managing the conversational flow.",Communication Management,A simple agreement or acknowledgment.,None,"'Yeah' is a simple acknowledgment or listener response, making it non-sentential.",Non-Sentential / Listener Response,"'Yeah.' typically serves to acknowledge or express acceptance of a previous situation or decision, but can also be seen here as an emotional or phatic expression, given lack of context.",Expressive,1,Course1_Level1,14,Blue,Yeah.
00:00:18.933,00:00:20.466,The utterance 'I put the () in here.' includes a part that is unintelligible.,Uninterpretable,"Incomplete statement; however, based on the pattern, it likely relates to a rule/mechanic or task (placing something).","World Rules, Not Enough Information","The phrase is incomplete, but it hints at an action being described.",Not Enough Information,"'I put the () in here' is incomplete due to the missing object, making it ambiguous and qualifying as 'Not Enough Information (Ni)' while hinting at a proposition (P).","Proposition, Not Enough Information","'I put the () in here.' indicates a change in the game state, likely marking a completed action.",Confirmation/Status Marker,1,Course1_Level1,15,Orange,I put the () in here.
00:00:20.466,00:00:21.666,The question 'Can we go through?' is complete and understandable.,Success,Blue is asking about the possibility of taking an action related to the task (going through something).,Task-Related,"A neutral question, not hedging or expressing certainty.",None,"'Can we go through?' is a direct request for information, making it a query.",Query,"'Can we go through?' is a request for information, checking if proceeding is possible.",Request for Information,1,Course1_Level1,16,Blue,Can we go through?
00:00:21.900,00:00:22.833,"The statement 'Oh, yeah, I can.' clearly communicates the speaker's realization without error.",Success,Blue confirms a world state by acknowledging their ability to go through.,World State,"The phrase 'Oh, yeah, I can' indicates certainty and confidence.",Certainty,"'Oh, yeah, I can' is an exclamatory expression confirming ability, constituting a factual claim that can be evaluated as true or false.",Proposition,"'Oh, yeah, I can.' justifies the possibility of passing through, also serving as confirmation that the action is doable.","Justification, Confirmation/Status Marker",1,Course1_Level1,17,Blue,"Oh, yeah, I can."
00:00:22.566,00:00:22.866,The utterance '()' contains no linguistic content and is uninterpretable.,Uninterpretable,The statement is incomplete; insufficient information to categorize properly.,Not Enough Information,The utterance is essentially incomplete with the placeholder '()' suggesting missing content.,Not Enough Information,"The line is incomplete with '()', making it impossible to classify without more context. It falls under 'Not Enough Information'.",Not Enough Information,"Assuming the empty utterance represents a complete question, with context suggesting it's asking for clarification or information about the game state.",Request for Information,1,Course1_Level1,18,Orange,()
00:00:23.833,00:00:24.266,The word 'Wait' is successfully communicated as a complete instruction.,Success,'Wait.' is usually used to manage the conversational flow.,Communication Management,"Neutral command, no indication of confidence or uncertainty.",None,"The word 'Wait' is a command or instruction to pause, thus marked as imperative (I).",Imperative,"'Wait.' used to pause the action, functions as a directive.",Directive,1,Course1_Level1,19,Blue,Wait.
00:00:24.566,00:00:26.166,Ends with '--' indicating abandonment and contains a hesitation-rephrase ('Can -- can you').,"Abandoned, Correction",Asking Orange to come here is task-related as it involves suggesting a movement action.,Task-Related,"Uses 'maybe', indicating hedging or uncertainty.",Hedging,"The phrase '(Can) -- can you come here maybe?' combines an imperative request with the query form, asking for action and information at once. Both imperative (I) and query (Q) apply.","Imperative, Query",Polite request framed as a suggestion with 'maybe' about coming here.,Offer/Option,1,Course1_Level1,20,Blue,(Can) -- can you come here maybe?
00:00:27.566,00:00:28.133,Question 'Where are you?' is clear and complete.,Success,The question 'Where are you?' manages conversational flow by requesting information needed for the task.,Communication Management,Neutral question with no hedging or certainty.,None,"The question 'Where are you?' is a direct request for information, making it a query (Q).",Query,"Incomplete context. Although it appears to be a question, it lacks information about previous discourse.",Not Enough Information,1,Course1_Level1,21,Orange,Where are you?
